ProductKey,ProductCode,ProductName,ProductSubcategory,ProductCategory
1,AR-5381,Adjustable Race,NULL,NULL
2,BA-8327,Bearing Ball,NULL,NULL
3,BE-2349,BB Ball Bearing,NULL,NULL
4,BE-2908,Headset Ball Bearings,NULL,NULL
5,BL-2036,Blade,NULL,NULL
6,CA-5965,LL Crankarm,NULL,NULL
7,CA-6738,ML Crankarm,NULL,NULL
8,CA-7457,HL Crankarm,NULL,NULL
9,CB-2903,Chainring Bolts,NULL,NULL
10,CN-6137,Chainring Nut,NULL,NULL
11,CR-7833,Chainring,NULL,NULL
12,CR-9981,Crown Race,NULL,NULL
13,CS-2812,Chain Stays,NULL,NULL
14,DC-8732,Decal 1,NULL,NULL
15,DC-9824,Decal 2,NULL,NULL
16,DT-2377,Down Tube,NULL,NULL
17,EC-M092,Mountain End Caps,NULL,NULL
18,EC-R098,Road End Caps,NULL,NULL
19,EC-T209,Touring End Caps,NULL,NULL
20,FE-3760,Fork End,NULL,NULL
21,FH-2981,Freewheel,NULL,NULL
22,FW-1000,Flat Washer 1,NULL,NULL
23,FW-1200,Flat Washer 6,NULL,NULL
24,FW-1400,Flat Washer 2,NULL,NULL
25,FW-3400,Flat Washer 9,NULL,NULL
26,FW-3800,Flat Washer 4,NULL,NULL
27,FW-5160,Flat Washer 3,NULL,NULL
28,FW-5800,Flat Washer 8,NULL,NULL
29,FW-7160,Flat Washer 5,NULL,NULL
30,FW-9160,Flat Washer 7,NULL,NULL
31,FC-3654,Fork Crown,NULL,NULL
32,FC-3982,Front Derailleur Cage,NULL,NULL
33,FL-2301,Front Derailleur Linkage,NULL,NULL
34,GP-0982,Guide Pulley,NULL,NULL
35,GT-0820,LL Grip Tape,NULL,NULL
36,GT-1209,ML Grip Tape,NULL,NULL
37,GT-2908,HL Grip Tape,NULL,NULL
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NULL
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NULL
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NULL
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NULL
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,NULL
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,NULL
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,NULL
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,NULL
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,NULL
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,NULL
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,NULL
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,NULL
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,NULL
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,NULL
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,NULL
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,NULL
54,HN-1024,Hex Nut 5,NULL,NULL
55,HN-1032,Hex Nut 6,NULL,NULL
56,HN-1213,Hex Nut 16,NULL,NULL
57,HN-1220,Hex Nut 17,NULL,NULL
58,HN-1224,Hex Nut 7,NULL,NULL
59,HN-1420,Hex Nut 8,NULL,NULL
60,HN-1428,Hex Nut 9,NULL,NULL
61,HN-3410,Hex Nut 22,NULL,NULL
62,HN-3416,Hex Nut 23,NULL,NULL
63,HN-3816,Hex Nut 12,NULL,NULL
64,HN-3824,Hex Nut 13,NULL,NULL
65,HN-4402,Hex Nut 1,NULL,NULL
66,HN-5161,Hex Nut 10,NULL,NULL
67,HN-5162,Hex Nut 11,NULL,NULL
68,HN-5400,Hex Nut 2,NULL,NULL
69,HN-5811,Hex Nut 20,NULL,NULL
